["ce44b7e7da3316c5ccdff24deebd1caf","2022-09-13 02:44:10"]
["3cf035e268e51ade8edbc9b5a6355b35","2022-09-13 03:12:15"]
["3cf035e268e51ade8edbc9b5a6355b35","2022-09-13 03:12:17"]
["3cf035e268e51ade8edbc9b5a6355b35","2022-09-13 03:12:20"]
["3cf035e268e51ade8edbc9b5a6355b35","2022-09-13 03:12:23"]
["3cf035e268e51ade8edbc9b5a6355b35","2022-09-13 03:12:27"]
["3cf035e268e51ade8edbc9b5a6355b35","2022-09-13 03:12:30"]
["aabda2bef6bfb3452dcd13c6e84e0bca","2022-09-13 05:39:42"]
["402b75edb846f10a671e66d339709fe7","2022-09-13 07:09:44"]
["554eb3665a9e4a90ab71f255d9e54b53","2022-09-13 10:08:51"]
["d709aa9c3973a5565b02c24610cd547e","2022-09-13 10:54:33"]
["68aa873d61a6586244b0892d7bca2573","2022-09-13 12:13:30"]
["c5b501b1a1d39d555a86a19ff03bda82","2022-09-13 13:19:16"]
["fcc3fc0528141a53c4314633c4ed1c42","2022-09-13 13:25:59"]
["573e701eaf9913b2b7ab3bc6a71f614b","2022-09-13 13:32:40"]
["2d2e513ac51c2ea8c20a7109f9c79ffc","2022-09-13 13:56:31"]
["c89da36187b6389d3a092307fed689e2","2022-09-13 15:06:55"]
["c89da36187b6389d3a092307fed689e2","2022-09-13 15:06:59"]
["c89da36187b6389d3a092307fed689e2","2022-09-13 15:07:04"]
["c89da36187b6389d3a092307fed689e2","2022-09-13 15:07:08"]
["c89da36187b6389d3a092307fed689e2","2022-09-13 15:07:14"]
["c89da36187b6389d3a092307fed689e2","2022-09-13 15:07:20"]
["aabda2bef6bfb3452dcd13c6e84e0bca","2022-09-13 15:45:51"]
["f0e733db0f1c2a8196a44e985cac2e1f","2022-09-13 17:15:02"]
["aabda2bef6bfb3452dcd13c6e84e0bca","2022-09-13 17:33:39"]
["181005780e27cbe3d2e3bca55c02368a","2022-09-13 17:47:52"]
["58c4711e8cf3df2ced88e58ef75bd84c","2022-09-13 18:01:58"]
["9d2d4ecdae650fcb627745f3c652da21","2022-09-13 18:27:39"]
["9d2d4ecdae650fcb627745f3c652da21","2022-09-13 19:30:31"]
["27627e1839a77ee4243532571d849140","2022-09-13 20:19:44"]
["1c779c6fcd423d17471393c81af203e9","2022-09-13 21:36:49"]
["1c779c6fcd423d17471393c81af203e9","2022-09-13 21:36:50"]
["1c779c6fcd423d17471393c81af203e9","2022-09-13 21:36:52"]
["1c779c6fcd423d17471393c81af203e9","2022-09-13 21:36:52"]
["a75228771db10c310fe47c63eb5bff83","2022-09-13 23:30:54"]
["b8e3b1f9567226a9534bd638bc9d32b7","2022-09-13 23:44:16"]
